model_family,model_name,params,complexity,train_time_sec,infer_latency_ms,infer_p95_latency_ms,throughput_rps,train_MAE,train_RMSE,train_MAPE,train_R2,val_MAE,val_RMSE,val_MAPE,val_R2,test_MAE,test_RMSE,test_MAPE,test_R2,test_Peak_MAE,test_Peak_MAPE,test_Peak_Count,robust_mean_rmse,robust_worst_rmse,robust_std_rmse,seed,data_path,split_policy,n_test_MAE,n_test_RMSE,n_test_MAPE,n_test_R2,n_peak_MAPE,n_peak_MAE,n_robust_mean,n_robust_worst,n_robust_std,n_latency_p95,n_throughput,n_train_time,accuracy_block,peak_block,robustness_block,efficiency_block,composite_score
Baseline,persistence_lag1,{'type': 'lag_1h'},1.0,0.0,0.0001260311906467396,0.0003759375005074608,6007839.216690026,353.09722245359353,465.6188865888644,2.3372741863979574,0.9653644394143425,537.2561826762909,706.6352797324238,3.0487722004054505,0.9272064955628199,702.5636285397002,944.9533883879682,3.8180374723472568,0.8989233234149939,991.1861165048543,4.2816535206266515,721,539.1216424698681,656.0504654012968,89.60524436085974,42,gujarat_hourly_merged.csv,chronological_70_15_15,1.0,1.0,1.0,1.0,0.9996426154639348,0.9996327877827388,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.999639667159576,1.0,0.85,98.48919001478727
LSTM,final_lstm_model_onnx,"{'artifact': 'final_lstm_model.onnx', 'lookback': 168, 'mode': 'pretrained_inference'}",,0.0,0.8794345650736494,1.549161736086388,1162.29106995179,356.6245422363281,466.5837612369295,2.363675594329834,0.9652040600776672,543.9622802734375,707.440699811652,3.0939502716064453,0.9270395040512085,709.7958374023438,945.6825246878574,3.8648133277893066,0.8987672924995422,983.019775390625,4.247448444366455,721,929.6809488689349,1151.0242721159273,173.3768173953975,42,gujarat_hourly_merged.csv,chronological_70_15_15,0.9995832761525025,0.9999579881328258,0.9995133926676624,0.9999958731660015,1.0,1.0,0.9752642164219983,0.9705756563832706,0.9012122261537555,0.0,0.0,0.5,0.9997626325297481,1.0,0.9490173663196747,0.15,90.47085262758343
XGBoost,xgboost_model_onnx,"{'artifact': 'xgboost_model.onnx', 'mode': 'pretrained_inference'}",,0.0,0.005500444505351771,0.006180390619192622,201197.57802991258,15009.282900590877,15216.34691896837,99.93446745422516,-35.98978846137805,17252.400023073627,17450.04585192668,99.94242300049915,-43.39102160508182,18057.48321395059,18300.437658300747,99.94452865639637,-36.90994311108928,23221.770912640186,99.95689529620617,721,16328.364993806574,17477.965447158364,937.6005961431741,42,gujarat_hourly_merged.csv,chronological_70_15_15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9962522557192964,0.03330215515783063,0.5,0.0,0.0,0.0,0.5584915488350678,5.584915488350678
