model,avg_runtime_sec,n_samples,runtime_per_1k_samples_sec,model_file_mb
XGBoost_ONNX,0.12682906000045477,5757,0.022030408198793604,0.9205961227416992
LSTM_ONNX,2.361415020000277,4000,0.5903537550000693,1.0927629470825195
