model,mae_ci_low,mae_ci_high,rmse_ci_low,rmse_ci_high,mape_ci_low,mape_ci_high
XGBoost_ONNX,303.4609582592048,318.6822694443992,409.1830457663673,451.30376261608154,1.753859830690265,1.8374774288564877
LSTM_ONNX,290.9975360110646,306.8118154638287,401.8486949680965,447.2656946845055,1.641158780612248,1.7221320740698776
Persistence_lag1h,545.5374000347404,569.2045828990794,708.953071208096,743.5543780179494,3.102213782080119,3.2316321677388333
