model,rows,mae,rmse,mape,peak_mape,r2,peak_count,source
xgb_onnx,39072,282.1175825834157,420.62848414536097,1.6850953257646528,2.1800379815500763,0.9744112888965802,3909,xgb_onnx
lstm_onnx,39240,246.48674042511257,391.1598938078548,1.4377409231591987,2.503222694053635,0.9779089004989396,3924,lstm_onnx
